,0
225,AC025917.1
226,AC025946.1
227,AC026202.2
228,AC026341.1
229,AC026347.1
230,AC026470.2
231,AC026979.2
232,AC027097.1
233,AC027097.2
234,AC027243.3
235,AC027290.1
236,AC027644.3
237,AC027682.3
238,AC040970.1
239,AC044849.1
240,AC046134.2
241,AC053513.1
242,AC055839.2
243,AC058791.1
244,AC060780.1
245,AC064807.1
246,AC064836.4
247,AC067751.1
248,AC067852.2
249,AC067945.3
250,AC067945.4
251,AC068282.1
252,AC068338.2
253,AC068587.4
254,AC068724.3
255,AC068888.1
256,AC072022.2
257,AC073111.4
258,AC073115.2
259,AC073167.1
260,AC073332.1
261,AC073342.1
262,AC073343.2
263,AC073389.1
264,AC073475.1
265,AC073896.2
266,AC074032.1
267,AC078883.1
268,AC078923.1
269,AC078929.1
270,AC079305.1
271,AC079305.3
272,AC079447.1
273,AC079781.5
274,AC079793.1
275,AC079807.1
276,AC079921.1
277,AC079922.2
278,AC083798.2
279,AC083862.3
280,AC083870.1
281,AC083880.1
282,AC083949.1
283,AC084198.2
284,AC087164.1
285,AC087239.1
286,AC087286.2
287,AC087286.4
288,AC087362.1
289,AC087623.2
290,AC087854.1
291,AC090152.1
292,AC090517.5
293,AC090772.2
294,AC090825.1
295,AC090971.2
296,AC091271.1
297,AC091814.1
298,AC092053.2
299,AC092053.3
300,AC092120.3
301,AC092164.1
302,AC092279.1
303,AC092329.4
304,AC092338.3
305,AC092343.1
306,AC092617.1
307,AC092652.1
308,AC092652.2
309,AC092683.1
310,AC092803.1
311,AC092821.3
312,AC092944.1
313,AC093010.2
314,AC093019.2
315,AC093323.1
316,AC093423.2
317,AC093462.1
318,AC093484.3
319,AC093495.1
320,AC093510.1
321,AC093535.1
322,AC093635.1
323,AC097376.3
324,AC097382.3
325,AC097534.2
326,AC098484.4
327,AC099343.3
328,AC099778.1
329,AC100810.1
330,AC103591.3
331,AC103724.3
332,AC104078.1
333,AC104078.2
334,AC104109.2
335,AC104123.1
336,AC104134.1
337,AC104162.2
338,AC104170.1
339,AC104316.1
340,AC104365.1
341,AC104506.1
342,AC104596.1
343,AC104695.2
344,AC104806.2
345,AC104850.2
346,AC105052.4
347,AC105916.1
348,AC106739.1
349,AC106791.1
350,AC106818.2
351,AC107081.2
352,AC108134.3
353,AC108519.1
354,AC109472.1
355,AC109587.1
356,AC112907.3
357,AC113410.4
358,AC113414.1
359,AC114316.1
360,AC114488.2
361,AC114760.2
362,AC114947.2
363,AC115618.1
364,AC116366.1
365,AC116366.2
366,AC118549.1
367,AC119396.1
368,AC122719.3
369,AC123595.1
370,AC123912.1
371,AC124014.1
372,AC124016.1
373,AC124248.1
374,AC125494.1
375,AC125611.3
376,AC126696.1
377,AC127070.1
378,AC127502.2
379,AC127526.2
380,AC127526.4
381,AC131237.1
382,AC131571.1
383,AC131971.1
384,AC132192.2
385,AC133644.2
386,AC135457.1
387,AC136475.3
388,AC137810.1
389,AC138150.1
390,AC139530.1
391,AC139720.1
392,AC139887.2
393,AC141424.1
394,AC144652.1
395,AC145124.1
396,AC145285.6
397,AC147067.1
398,AC147651.4
399,AC211476.2
400,AC215522.2
401,AC233976.1
402,AC234582.1
403,AC239799.2
404,AC242842.1
405,AC243829.1
406,AC243829.4
407,AC243960.1
408,AC244197.2
409,AC244502.1
410,AC245014.3
411,AC245297.3
412,AC245407.2
413,AC246785.3
414,AC253572.2
415,ACAA1
416,ACAA2
417,ACACA
418,ACACB
419,ACAD10
420,ACAD11
421,ACAD8
422,ACAD9
423,ACADM
424,ACADS
425,ACADSB
426,ACADVL
427,ACAP1
428,ACAP2
429,ACAP3
430,ACAT1
431,ACAT2
432,ACBD3
433,ACBD4
434,ACBD5
435,ACBD6
436,ACD
437,ACER2
438,ACER3
439,ACIN1
440,ACLY
441,ACO1
442,ACO2
443,ACOT13
444,ACOT2
445,ACOT7
446,ACOT8
447,ACOT9
448,ACOX1
449,ACOX3
450,ACOXL
451,ACP1
452,ACP2
453,ACP5
454,ACP6
455,ACSF3
456,ACSL1
457,ACSL3
458,ACSL4
459,ACSL5
460,ACSL6
461,ACSS1
462,ACSS2
463,ACTA2
464,ACTB
465,ACTG1
466,ACTL6A
467,ACTN4
468,ACTR10
469,ACTR1A
470,ACTR1B
471,ACTR2
472,ACTR3
473,ACTR3B
474,ACTR3C
475,ACTR5
476,ACTR6
477,ACTR8
478,ACVR1
479,ACVR1B
480,ACVR1C
481,ACVR2A
482,ACYP1
483,ACYP2
484,AD000090.1
485,ADA
486,ADA2
487,ADAL
488,ADAM10
489,ADAM12
490,ADAM15
491,ADAM17
492,ADAM19
493,ADAM22
494,ADAM23
495,ADAM8
496,ADAM9
497,ADAMTS17
498,ADAMTSL4-AS1
499,ADAR
500,ADARB1
501,ADAT1
502,ADAT2
503,ADAT3
504,ADCK2
505,ADCK5
506,ADCY3
507,ADCY7
508,ADCY9
509,ADD1
510,ADD3
511,ADGRE5
512,ADGRF3
513,ADGRG1
514,ADGRV1
515,ADH5
516,ADHFE1
517,ADI1
518,ADIPOR1
519,ADIPOR2
520,ADK
521,ADNP
522,ADNP-AS1
523,ADNP2
524,ADO
525,ADORA2A
526,ADPGK
527,ADPGK-AS1
528,ADPRHL2
529,ADPRM
530,ADRB2
531,ADRM1
532,ADSL
533,ADSS
534,AEBP2
535,AEN
536,AF111167.1
537,AF117829.1
538,AF165147.1
539,AF213884.3
540,AFAP1
541,AFDN
542,AFF1
543,AFF3
544,AFF4
545,AFG1L
546,AFG3L2
547,AFTPH
548,AGA
549,AGAP2
550,AGAP3
551,AGBL3
552,AGBL5
553,AGER
554,AGFG1
555,AGFG2
556,AGGF1
557,AGK
558,AGL
559,AGO1
560,AGO2
561,AGO3
562,AGO4
563,AGPAT1
564,AGPAT2
565,AGPAT3
566,AGPAT4
567,AGPAT5
568,AGPS
569,AGTPBP1
570,AGTRAP
571,AHCTF1
572,AHCY
573,AHCYL1
574,AHCYL2
575,AHDC1
576,AHI1
577,AHNAK
578,AHR
579,AHRR
580,AHSA1
581,AIDA
582,AIF1
583,AIFM1
584,AIG1
585,AIM2
586,AIMP1
587,AIMP2
588,AIP
589,AJM1
590,AK2
591,AK3
592,AK6
593,AK9
594,AKAP1
595,AKAP10
596,AKAP11
597,AKAP13
598,AKAP17A
599,AKAP7
600,AKAP8
601,AKAP8L
602,AKAP9
603,AKIP1
604,AKIRIN1
605,AKIRIN2
606,AKNA
607,AKR1A1
608,AKR1B1
609,AKR7A2
610,AKT1
611,AKT1S1
612,AKT2
613,AKT3
614,AKTIP
615,AL021155.5
616,AL021707.1
617,AL021918.5
618,AL022345.4
619,AL031428.1
620,AL031602.2
621,AL031727.2
622,AL031728.1
623,AL031772.1
624,AL031963.3
625,AL035530.2
626,AL035587.2
627,AL035634.1
628,AL049828.1
629,AL049869.3
630,AL050309.1
631,AL050341.2
632,AL078459.1
633,AL078600.1
634,AL080250.1
635,AL080276.2
636,AL096677.1
637,AL096870.8
638,AL109761.1
639,AL117336.2
640,AL118516.1
641,AL118558.3
642,AL121574.1
643,AL121603.2
644,AL121787.1
645,AL121820.1
646,AL121935.1
647,AL121944.1
648,AL121985.1
649,AL132996.1
650,AL133268.3
651,AL133268.4
652,AL133330.1
653,AL133415.1
654,AL133480.1
655,AL133493.1
656,AL133523.1
657,AL135791.1
658,AL135818.1
659,AL135905.2
660,AL135925.1
661,AL135999.1
662,AL136038.5
663,AL136040.2
664,AL136320.1
665,AL136454.1
666,AL136456.1
667,AL136962.1
668,AL136987.1
669,AL137003.1
670,AL137009.1
671,AL137779.2
672,AL137856.1
673,AL138720.1
674,AL138724.1
675,AL138778.1
676,AL138963.4
677,AL139011.1
678,AL139099.1
679,AL139246.5
680,AL139260.1
681,AL139274.2
682,AL139383.1
683,AL139393.3
684,AL139807.1
685,AL157394.3
686,AL157402.2
687,AL157786.1
688,AL157912.1
689,AL157938.2
690,AL158071.3
691,AL158071.4
692,AL158152.1
693,AL158198.1
694,AL158207.2
695,AL160408.2
696,AL161421.1
697,AL162231.2
698,AL162253.2
699,AL162258.2
700,AL162377.1
701,AL353708.3
702,AL353759.1
703,AL353807.5
704,AL354733.3
705,AL354740.1
706,AL355001.2
707,AL355075.3
708,AL355075.4
709,AL355304.1
710,AL355490.2
711,AL356234.2
712,AL356417.1
713,AL356512.1
714,AL357992.1
715,AL359220.1
716,AL359232.1
717,AL359513.1
718,AL360091.3
719,AL365272.1
720,AL365295.1
721,AL365356.1
722,AL365361.1
723,AL390728.5
724,AL390957.1
725,AL391069.2
726,AL391832.4
727,AL391839.3
728,AL391863.1
729,AL392046.1
730,AL392172.1
731,AL441992.1
732,AL445471.1
733,AL445524.1
734,AL450322.2
735,AL450352.1
736,AL450992.1
737,AL450992.3
738,AL450998.2
739,AL451085.1
740,AL451085.2
741,AL451165.2
742,AL499604.1
743,AL513303.1
744,AL513550.1
745,AL589990.1
746,AL590550.1
747,AL590764.1
748,AL591043.2
749,AL591895.1
750,AL592183.1
751,AL592429.2
752,AL603756.1
753,AL606489.1
754,AL606760.3
755,AL627171.1
756,AL627171.2
757,AL645465.1
758,AL645568.1
759,AL645728.1
760,AL645941.3
761,AL662844.4
762,AL691403.1
763,AL691432.2
764,AL731577.2
765,ALAD
766,ALAS1
767,ALCAM
768,ALDH16A1
769,ALDH18A1
770,ALDH3A2
771,ALDH6A1
772,ALDH9A1
773,ALDOA
774,ALDOC
775,ALG1
776,ALG11
777,ALG12
778,ALG13
779,ALG2
780,ALG3
781,ALG5
782,ALG6
783,ALG8
784,ALG9
785,ALKBH1
786,ALKBH2
787,ALKBH3
788,ALKBH4
789,ALKBH5
790,ALKBH6
791,ALKBH7
792,ALKBH8
793,ALMS1
794,ALOX12-AS1
795,ALOX5AP
796,ALPK1
797,ALPK2
798,ALS2
799,ALYREF
800,AMBRA1
801,AMD1
802,AMDHD2
803,AMFR
804,AMIGO2
805,AMMECR1
806,AMMECR1L
807,AMN1
808,AMPD2
809,AMPD3
810,AMZ2
811,ANAPC1
812,ANAPC10
813,ANAPC11
814,ANAPC13
815,ANAPC15
816,ANAPC16
817,ANAPC2
818,ANAPC4
819,ANAPC5
820,ANAPC7
821,ANGEL1
822,ANGEL2
823,ANK1
824,ANK3
825,ANKAR
826,ANKDD1A
827,ANKFY1
828,ANKH
829,ANKHD1
830,ANKIB1
831,ANKLE2
832,ANKMY1
833,ANKMY2
834,ANKRA2
835,ANKRD10
836,ANKRD11
837,ANKRD12
838,ANKRD13A
839,ANKRD13C
840,ANKRD13D
841,ANKRD17
842,ANKRD26
843,ANKRD27
844,ANKRD28
845,ANKRD30BL
846,ANKRD33B
847,ANKRD36
848,ANKRD36B
849,ANKRD36C
850,ANKRD37
851,ANKRD39
852,ANKRD40
853,ANKRD42
854,ANKRD44
855,ANKRD46
856,ANKRD49
857,ANKRD52
858,ANKRD54
859,ANKS1A
860,ANKS3
861,ANKUB1
862,ANKZF1
863,ANO10
864,ANO6
865,ANO9
866,ANP32A
867,ANP32B
868,ANP32E
869,ANTKMT
870,ANTXR2
871,ANXA1
872,ANXA11
873,ANXA2
874,ANXA2R
875,ANXA4
876,ANXA5
877,ANXA6
878,ANXA7
879,AOAH
880,AOPEP
881,AP000442.1
882,AP000763.3
883,AP000779.1
884,AP000787.1
885,AP000873.2
886,AP000919.2
887,AP000919.3
888,AP001011.1
889,AP001267.1
890,AP001318.2
891,AP001347.1
892,AP001363.2
893,AP001816.1
894,AP002336.2
895,AP002360.1
896,AP002381.2
897,AP002387.2
898,AP002490.1
899,AP002495.1
900,AP002748.4
901,AP003086.1
902,AP003307.1
903,AP003472.1
904,AP003717.4
905,AP004609.3
906,AP005019.1
907,AP005131.5
908,AP005329.1
909,AP005482.1
910,AP006565.1
911,AP1AR
912,AP1B1
913,AP1G1
914,AP1G2
915,AP1M1
916,AP1S1
917,AP1S2
918,AP1S3
919,AP2A1
920,AP2A2
921,AP2B1
922,AP2M1
923,AP2S1
924,AP3B1
925,AP3D1
926,AP3M1
927,AP3M2
928,AP3S1
929,AP3S2
930,AP4B1
931,AP4B1-AS1
932,AP4E1
933,AP4M1
934,AP4S1
935,AP5B1
936,AP5M1
937,AP5S1
938,AP5Z1
939,APAF1
940,APBA2
941,APBA3
942,APBB1
943,APBB1IP
944,APBB3
945,APC
946,APEH
947,APEX1
948,APEX2
949,APH1A
950,APH1B
951,API5
952,APIP
953,APLF
954,APLP2
955,APMAP
956,APOA1-AS
957,APOBEC3C
958,APOBEC3D
959,APOBEC3F
960,APOBEC3G
961,APOBEC3H
962,APOBR
963,APOL2
964,APOL3
965,APOL6
966,APOLD1
967,APOM
968,APOO
969,APOOL
970,APP
971,APPBP2
972,APPL1
973,APPL2
974,APRT
975,APTR
976,APTX
977,AQP3
978,AQR
979,ARAF
980,ARAP1
981,ARAP2
982,ARAP3
983,ARCN1
984,AREG
985,AREL1
986,ARF1
987,ARF3
988,ARF4
989,ARF4-AS1
990,ARF5
991,ARF6
992,ARFGAP1
993,ARFGAP2
994,ARFGAP3
995,ARFGEF1
996,ARFGEF2
997,ARFIP1
998,ARFIP2
999,ARFRP1
1000,ARG2
1001,ARGLU1
1002,ARHGAP1
1003,ARHGAP10
1004,ARHGAP12
1005,ARHGAP15
1006,ARHGAP17
1007,ARHGAP18
1008,ARHGAP19
1009,ARHGAP21
1010,ARHGAP25
1011,ARHGAP26
1012,ARHGAP27
1013,ARHGAP30
1014,ARHGAP31
1015,ARHGAP35
1016,ARHGAP4
1017,ARHGAP45
1018,ARHGAP5
1019,ARHGAP9
1020,ARHGDIA
1021,ARHGDIB
1022,ARHGEF1
1023,ARHGEF12
1024,ARHGEF18
1025,ARHGEF19
1026,ARHGEF2
1027,ARHGEF3
1028,ARHGEF40
1029,ARHGEF6
1030,ARHGEF7
1031,ARHGEF9
1032,ARID1A
1033,ARID1B
1034,ARID2
1035,ARID3A
1036,ARID3B
1037,ARID4A
1038,ARID4B
1039,ARID5A
1040,ARID5B
1041,ARIH1
1042,ARIH2
1043,ARIH2OS
1044,ARL1
1045,ARL10
1046,ARL13B
1047,ARL14EP
1048,ARL15
1049,ARL16
1050,ARL17A
1051,ARL17B
1052,ARL2
1053,ARL2BP
1054,ARL3
1055,ARL4A
1056,ARL4C
1057,ARL4D
1058,ARL5A
1059,ARL5B
1060,ARL6IP1
1061,ARL6IP4
1062,ARL6IP5
1063,ARL6IP6
1064,ARL8A
1065,ARL8B
1066,ARMC1
1067,ARMC10
1068,ARMC2
1069,ARMC5
1070,ARMC6
1071,ARMC7
1072,ARMC8
1073,ARMCX3
1074,ARMCX4
1075,ARMCX5-GPRASP2
1076,ARMCX6
1077,ARMH1
1078,ARMH3
1079,ARMH4
1080,ARMT1
1081,ARNT
1082,ARNTL
1083,ARPC1A
1084,ARPC1B
1085,ARPC2
1086,ARPC3
1087,ARPC4
1088,ARPC5
1089,ARPC5L
1090,ARPP19
1091,ARRB1
1092,ARRB2
1093,ARRDC1
1094,ARRDC1-AS1
1095,ARRDC2
1096,ARRDC3
1097,ARRDC3-AS1
1098,ARSA
1099,ARSB
1100,ARSG
1101,ARSK
1102,ARV1
1103,ASAH1
1104,ASAP1
1105,ASB1
1106,ASB16-AS1
1107,ASB2
1108,ASB3
1109,ASB6
1110,ASB7
1111,ASB8
1112,ASCC1
1113,ASCC2
1114,ASCC3
1115,ASF1A
1116,ASF1B
1117,ASH1L
1118,ASH1L-AS1
1119,ASH2L
1120,ASIP
1121,ASL
1122,ASMTL
1123,ASNS
1124,ASNSD1
1125,ASPH
1126,ASPSCR1
1127,ASTE1
1128,ASTL
1129,ASTN2
1130,ASXL1
1131,ASXL2
1132,ATAD1
1133,ATAD2
1134,ATAD2B
1135,ATAD3A
1136,ATAD3B
1137,ATAD5
1138,ATAT1
1139,ATE1
1140,ATF1
1141,ATF2
1142,ATF3
1143,ATF4
1144,ATF5
1145,ATF6
1146,ATF6B
1147,ATF7
1148,ATF7IP
1149,ATF7IP2
1150,ATG10
1151,ATG101
1152,ATG12
1153,ATG13
1154,ATG14
1155,ATG16L1
1156,ATG16L2
1157,ATG2A
1158,ATG2B
1159,ATG3
1160,ATG4A
1161,ATG4B
1162,ATG4C
1163,ATG4D
1164,ATG5
1165,ATG7
1166,ATG9A
1167,ATIC
1168,ATL2
1169,ATL3
1170,ATM
1171,ATMIN
1172,ATN1
1173,ATOX1
1174,ATP10A
1175,ATP10D
1176,ATP11A
1177,ATP11B
1178,ATP11C
1179,ATP13A1
1180,ATP13A2
1181,ATP13A3
1182,ATP1A1
1183,ATP1A1-AS1
1184,ATP1B1
1185,ATP1B2
1186,ATP1B3
1187,ATP23
1188,ATP2A2
1189,ATP2A3
1190,ATP2B1
1191,ATP2B1-AS1
1192,ATP2B4
1193,ATP2C1
1194,ATP5F1A
1195,ATP5F1B
1196,ATP5F1C
1197,ATP5F1D
1198,ATP5F1E
1199,ATP5IF1
1200,ATP5MC1
1201,ATP5MC2
1202,ATP5MC3
1203,ATP5MD
1204,ATP5ME
1205,ATP5MF
1206,ATP5MG
1207,ATP5MPL
1208,ATP5PB
1209,ATP5PD
1210,ATP5PF
1211,ATP5PO
1212,ATP6AP1
1213,ATP6AP2
1214,ATP6V0A1
1215,ATP6V0A2
1216,ATP6V0B
1217,ATP6V0C
1218,ATP6V0D1
1219,ATP6V0E1
1220,ATP6V0E2
1221,ATP6V1A
1222,ATP6V1B2
1223,ATP6V1C1
1224,ATP6V1D
1225,ATP6V1E1
1226,ATP6V1E2
1227,ATP6V1F
1228,ATP6V1G1
1229,ATP6V1H
1230,ATP7A
1231,ATP8A1
1232,ATP8A2
1233,ATP8B2
1234,ATP8B4
1235,ATP9B
1236,ATPAF1
1237,ATPAF2
1238,ATR
1239,ATRAID
1240,ATRIP
1241,ATRN
1242,ATRX
1243,ATXN1
1244,ATXN10
1245,ATXN1L
1246,ATXN2
1247,ATXN2L
1248,ATXN3
1249,ATXN7
1250,ATXN7L1
1251,ATXN7L2
1252,ATXN7L3
1253,ATXN7L3B
1254,AUH
1255,AUP1
1256,AURKAIP1
1257,AUTS2
1258,AVEN
1259,AVL9
1260,AVPI1
1261,AXIN1
1262,AXIN2
1263,AZI2
1264,AZIN1
1265,AZIN1-AS1
1266,AZIN2
1267,B2M
1268,B3GALNT2
1269,B3GALT2
1270,B3GALT4
1271,B3GALT6
1272,B3GAT3
1273,B3GLCT
1274,B3GNT2
1275,B3GNT5
1276,B3GNTL1
1277,B4GALT1
1278,B4GALT3
1279,B4GALT4
1280,B4GALT5
1281,B4GALT7
1282,B9D2
1283,BABAM1
1284,BABAM2
1285,BACH1
1286,BACH2
1287,BAD
1288,BAG1
1289,BAG2
1290,BAG3
1291,BAG4
1292,BAG5
1293,BAG6
1294,BAHD1
1295,BAIAP2
1296,BAIAP3
1297,BAK1
1298,BAMBI
1299,BANF1
1300,BANP
1301,BAP1
1302,BARD1
1303,BATF
1304,BATF3
1305,BAX
1306,BAZ1A
1307,BAZ1B
1308,BAZ2A
1309,BAZ2B
1310,BBC3
1311,BBIP1
1312,BBOF1
1313,BBS1
1314,BBS12
1315,BBS2
1316,BBS4
1317,BBS7
1318,BBS9
1319,BBX
1320,BCAP29
1321,BCAP31
1322,BCAS2
1323,BCAS3
1324,BCAS4
1325,BCAT2
1326,BCCIP
1327,BCDIN3D
1328,BCKDHA
1329,BCKDHB
1330,BCKDK
1331,BCL10
1332,BCL11B
1333,BCL2
1334,BCL2A1
1335,BCL2L1
1336,BCL2L11
1337,BCL2L12
1338,BCL2L13
1339,BCL3
1340,BCL6
1341,BCL7B
1342,BCL7C
1343,BCL9
1344,BCL9L
1345,BCLAF1
1346,BCLAF3
1347,BCOR
1348,BCORL1
1349,BCR
1350,BCS1L
1351,BDH1
1352,BDH2
1353,BDP1
1354,BECN1
1355,BEST1
1356,BET1
1357,BET1L
1358,BEX2
1359,BEX4
1360,BEX5
1361,BFAR
1362,BFSP2-AS1
1363,BHLHE40
1364,BHLHE40-AS1
1365,BICD1
1366,BICD2
1367,BICDL1
1368,BICRA
1369,BICRAL
1370,BID
1371,BIK
1372,BIN1
1373,BIN2
1374,BIN3
1375,BIRC2
1376,BIRC3
1377,BIRC6
1378,BISPR
1379,BLCAP
1380,BLK
1381,BLM
1382,BLMH
1383,BLOC1S1
1384,BLOC1S2
1385,BLOC1S4
1386,BLOC1S5
1387,BLOC1S6
1388,BLVRA
1389,BLVRB
1390,BLZF1
1391,BMERB1
1392,BMF
1393,BMI1
1394,BMP2K
1395,BMPR1A
1396,BMPR2
1397,BMS1
1398,BMT2
1399,BNIP1
1400,BNIP2
1401,BNIP3
1402,BNIP3L
1403,BOD1
1404,BOD1L1
1405,BOLA1
1406,BOLA2
1407,BOLA2B
1408,BOLA3
1409,BOP1
1410,BORA
1411,BORCS5
1412,BORCS6
1413,BORCS7
1414,BORCS8
1415,BPGM
1416,BPNT1
1417,BPTF
1418,BRAF
1419,BRAP
1420,BRAT1
1421,BRCA2
1422,BRCC3
1423,BRD1
1424,BRD2
1425,BRD3
1426,BRD3OS
1427,BRD4
1428,BRD7
1429,BRD8
1430,BRD9
1431,BRF1
1432,BRF2
1433,BRI3
1434,BRI3BP
1435,BRIP1
1436,BRIX1
1437,BRK1
1438,BRMS1
1439,BRMS1L
1440,BROX
1441,BRPF1
1442,BRPF3
1443,BRWD1
1444,BRWD3
1445,BSCL2
1446,BSDC1
1447,BSG
1448,BST2
1449,BTAF1
1450,BTBD1
1451,BTBD10
1452,BTBD11
1453,BTBD19
1454,BTBD2
1455,BTBD6
1456,BTBD7
1457,BTBD9
1458,BTD
1459,BTF3
1460,BTF3L4
1461,BTG1
1462,BTG2
1463,BTG3
1464,BTG3-AS1
1465,BTLA
1466,BTN2A1
1467,BTN2A2
1468,BTN3A1
1469,BTN3A2
1470,BTN3A3
1471,BTRC
1472,BUB1
1473,BUB3
1474,BUD13
1475,BUD23
1476,BUD31
1477,BX284668.5
1478,BX284668.6
1479,BX890604.2
1480,BZW1
1481,BZW2
1482,C10orf143
1483,C10orf88
1484,C10orf91
1485,C11orf1
1486,C11orf24
1487,C11orf49
1488,C11orf54
1489,C11orf58
1490,C11orf65
1491,C11orf68
1492,C11orf71
1493,C11orf80
1494,C11orf96
1495,C11orf98
1496,C12orf10
1497,C12orf29
1498,C12orf4
1499,C12orf43
1500,C12orf45
1501,C12orf49
1502,C12orf57
1503,C12orf65
1504,C12orf66
1505,C12orf73
1506,C12orf75
1507,C12orf76
1508,C14orf119
1509,C14orf28
1510,C15orf39
1511,C15orf40
1512,C15orf41
1513,C15orf61
1514,C16orf46
1515,C16orf54
1516,C16orf58
1517,C16orf70
1518,C16orf72
1519,C16orf87
1520,C16orf91
1521,C17orf107
1522,C17orf49
1523,C17orf67
1524,C17orf75
1525,C18orf21
1526,C18orf25
1527,C18orf32
1528,C19orf12
1529,C19orf25
1530,C19orf44
1531,C19orf47
1532,C19orf48
1533,C19orf53
1534,C1D
1535,C1GALT1
1536,C1GALT1C1
1537,C1QBP
1538,C1QTNF6
1539,C1RL
1540,C1RL-AS1
1541,C1S
1542,C1orf109
1543,C1orf112
1544,C1orf122
1545,C1orf131
1546,C1orf141
1547,C1orf159
1548,C1orf162
1549,C1orf174
1550,C1orf198
1551,C1orf216
1552,C1orf35
1553,C1orf43
1554,C1orf50
1555,C1orf52
1556,C1orf54
1557,C1orf56
1558,C1orf61
1559,C20orf194
1560,C20orf27
1561,C21orf62-AS1
1562,C21orf91
1563,C21orf91-OT1
1564,C22orf34
1565,C22orf39
1566,C2CD2L
1567,C2CD3
1568,C2CD4A
1569,C2CD4D
1570,C2CD5
1571,C2orf27A
1572,C2orf42
1573,C2orf49
1574,C2orf68
1575,C2orf69
1576,C2orf74
1577,C2orf76
1578,C2orf81
1579,C2orf92
1580,C3AR1
1581,C3orf33
1582,C3orf35
1583,C3orf38
1584,C4orf3
1585,C4orf33
1586,C4orf46
